rank,ime,drzava,rating,letnik
22,"Wang, Yue",CHN,2696,1987
23,"Bacrot, Etienne",FRA,2695,1983
24,"Alekseev, Evgeny",RUS,2689,1985
25,"Bu, Xiangzhi",CHN,2685,1985
26,"Nisipeanu, Liviu-Dieter",ROM,2683,1976
27,"Kasimdzhanov, Rustam",UZB,2683,1979
28,"Short, Nigel D",ENG,2683,1965
29,"Almasi, Zoltan",HUN,2682,1976
30,"Volokitin, Andrei",UKR,2681,1986
31,"Ni, Hua",CHN,2681,1983
32,"Dominguez Perez, Lenier",CUB,2680,1983
33,"Rublevsky, Sergei",RUS,2679,1974
34,"Van Wely, Loek",NED,2679,1972
35,"Karjakin, Sergey",UKR,2678,1990
36,"Malakhov, Vladimir",RUS,2676,1980
37,"Sasikiran, Krishnan",IND,2676,1981
38,"Milov, Vadim",SUI,2675,1972
39,"Miroshnichenko, Evgenij",UKR,2671,1978
40,"Landa, Konstantin",RUS,2669,1972
41,"Movsesian, Sergei",SVK,2667,1978
42,"Sargissian, Gabriel",ARM,2667,1983
43,"Vallejo Pons, Francisco",ESP,2666,1982
44,"Sokolov, Ivan",NED,2666,1968
45,"Harikrishna, P.",IND,2664,1986
46,"Georgiev, Kiril",BUL,2663,1965
47,"Inarkiev, Ernesto",RUS,2663,1985
48,"Krasenkow, Michal",POL,2660,1963
49,"Socko, Bartosz",POL,2660,1978
50,"Volkov, Sergey",RUS,2659,1974
51,"Zvjaginsev, Vadim",RUS,2658,1976
52,"Cheparinov, Ivan",BUL,2657,1986
53,"Sutovsky, Emil",ISR,2656,1977
54,"Navara, David",CZE,2656,1985
55,"Tkachiev, Vladislav",FRA,2655,1973
56,"Gashimov, Vugar",AZE,2655,1986
57,"Tomashevsky, Evgeny",RUS,2654,1987
58,"Lautier, Joel",FRA,2654,1973
59,"Beliavsky, Alexander G",SLO,2653,1953
60,"Bareev, Evgeny",RUS,2653,1966
61,"Onischuk, Alexander",USA,2650,1975
62,"Bologan, Viktor",MDA,2650,1971
63,"Timofeev, Artyom",RUS,2650,1985
64,"Smirin, Ilia",ISR,2649,1968
65,"Zhang, Pengxiang",CHN,2649,1980
66,"Baklan, Vladimir",UKR,2648,1978
67,"Tiviakov, Sergei",NED,2648,1973
68,"Motylev, Alexander",RUS,2648,1979
69,"Miton, Kamil",POL,2648,1984
70,"Nakamura, Hikaru",USA,2647,1987
71,"Nikolic, Predrag",BIH,2646,1960
72,"Fressinet, Laurent",FRA,2646,1981
73,"Areshchenko, Alexander",UKR,2645,1986
74,"Avrukh, Boris",ISR,2645,1978
75,"Izoria, Zviad",GEO,2645,1984
76,"Jobava, Baadur",GEO,2644,1983
77,"Naiditsch, Arkadij",GER,2644,1985
78,"Afromeev, Vladimir",RUS,2642,1954
79,"Moiseenko, Alexander",UKR,2641,1980
80,"Nielsen, Peter Heine",DEN,2638,1973
81,"Shabalov, Alexander",USA,2637,1967
82,"Wojtaszek, Radoslaw",POL,2637,1987
83,"Smirnov, Pavel",RUS,2636,1982
84,"Sadvakasov, Darmen",KAZ,2635,1979
85,"Sakaev, Konstantin",RUS,2634,1974
86,"Kobalia, Mikhail",RUS,2634,1978
87,"Zhang, Zhong",CHN,2634,1978
88,"Gurevich, Mikhail",TUR,2633,1959
89,"Lputian, Smbat G",ARM,2633,1958
90,"Khalifman, Alexander",RUS,2632,1966
91,"Ye, Jiangchuan",CHN,2632,1960
92,"Stellwagen, Daniel",NED,2631,1987
93,"Roiz, Michael",ISR,2630,1983
94,"Ehlvest, Jaan",USA,2629,1962
95,"Istratescu, Andrei",ROM,2629,1975
96,"Predojevic, Borki",BIH,2628,1987
97,"Fridman, Daniel",GER,2628,1976
98,"Vladimirov, Evgeny",KAZ,2627,1957
99,"Bauer, Christian",FRA,2626,1977
100,"Mchedlishvili, Mikheil",GEO,2624,1979
101,"Efimenko, Zahar",UKR,2624,1985
102,"Wang, Hao",CHN,2624,1989
1,"Anand, Viswanathan",IND,2801,1969
2,"Ivanchuk, Vassily",UKR,2787,1969
3,"Kramnik, Vladimir",RUS,2785,1975
4,"Topalov, Veselin",BUL,2769,1975
5,"Leko, Peter",HUN,2755,1979
6,"Morozevich, Alexander",RUS,2755,1977
7,"Mamedyarov, Shakhriyar",AZE,2752,1985
8,"Radjabov, Teimour",AZE,2742,1987
9,"Aronian, Levon",ARM,2741,1982
10,"Shirov, Alexei",ESP,2739,1972
11,"Gelfand, Boris",ISR,2736,1968
12,"Svidler, Peter",RUS,2732,1976
13,"Adams, Michael",ENG,2729,1971
14,"Alekseev, Evgeny",RUS,2716,1985
15,"Grischuk, Alexander",RUS,2715,1983
16,"Carlsen, Magnus",NOR,2714,1990
17,"Kamsky, Gata",USA,2714,1974
18,"Akopian, Vladimir",ARM,2713,1971
19,"Jakovenko, Dmitry",RUS,2710,1983
20,"Polgar, Judit",HUN,2708,1976
21,"Ponomariov, Ruslan",UKR,2705,1983
22,"Wang, Yue",CHN,2703,1987
23,"Bacrot, Etienne",FRA,2695,1983
24,"Karjakin, Sergey",UKR,2694,1990
25,"Bu, Xiangzhi",CHN,2692,1985
26,"Eljanov, Pavel",UKR,2691,1983
27,"Almasi, Zoltan",HUN,2691,1976
28,"Malakhov, Vladimir",RUS,2690,1980
29,"Kasimdzhanov, Rustam",UZB,2690,1979
30,"Dominguez Perez, Lenier",CUB,2683,1983
31,"Van Wely, Loek",NED,2679,1972
32,"Landa, Konstantin",RUS,2678,1972
33,"Volokitin, Andrei",UKR,2678,1986
34,"Milov, Vadim",SUI,2676,1972
35,"Rublevsky, Sergei",RUS,2676,1974
36,"Onischuk, Alexander",USA,2674,1975
37,"Inarkiev, Ernesto",RUS,2674,1985
38,"Zvjaginsev, Vadim",RUS,2674,1976
39,"Sokolov, Ivan",NED,2673,1968
40,"Sargissian, Gabriel",ARM,2673,1983
41,"Movsesian, Sergei",SVK,2670,1978
42,"Cheparinov, Ivan",BUL,2670,1986
43,"Karpov, Anatoly",RUS,2670,1951
44,"Krasenkow, Michal",POL,2668,1963
45,"Harikrishna, P.",IND,2668,1986
46,"Nisipeanu, Liviu-Dieter",ROU,2668,1976
47,"Gashimov, Vugar",AZE,2663,1986
48,"Tkachiev, Vladislav",FRA,2661,1973
49,"Sasikiran, Krishnan",IND,2661,1981
50,"Vallejo Pons, Francisco",ESP,2660,1982
51,"Nikolic, Predrag",BIH,2657,1960
52,"Bologan, Viktor",MDA,2657,1971
53,"Lautier, Joel",FRA,2657,1973
54,"Navara, David",CZE,2656,1985
55,"Sutovsky, Emil",ISR,2655,1977
56,"Fressinet, Laurent",FRA,2654,1981
57,"Bareev, Evgeny",RUS,2653,1966
58,"Miroshnichenko, Evgenij",UKR,2651,1978
59,"Short, Nigel D",ENG,2649,1965
60,"Georgiev, Kiril",BUL,2649,1965
61,"Nakamura, Hikaru",USA,2648,1987
62,"Volkov, Sergey",RUS,2648,1974
63,"Socko, Bartosz",POL,2646,1978
64,"Tomashevsky, Evgeny",RUS,2646,1987
65,"Moiseenko, Alexander",UKR,2646,1980
66,"Afromeev, Vladimir",RUS,2646,1954
67,"Beliavsky, Alexander G",SLO,2646,1953
68,"Fedorchuk, Sergey A.",UKR,2645,1981
69,"Predojevic, Borki",BIH,2645,1987
70,"Motylev, Alexander",RUS,2645,1979
71,"Zhang, Pengxiang",CHN,2644,1980
72,"Jobava, Baadur",GEO,2644,1983
73,"Roiz, Michael",ISR,2644,1983
74,"Tiviakov, Sergei",NED,2643,1973
75,"Wang, Hao",CHN,2643,1989
76,"Khalifman, Alexander",RUS,2643,1966
77,"Izoria, Zviad",GEO,2643,1984
78,"Ni, Hua",CHN,2641,1983
79,"Avrukh, Boris",ISR,2641,1978
80,"Baklan, Vladimir",UKR,2639,1978
81,"Stellwagen, Daniel",NED,2639,1987
82,"Smirin, Ilia",ISR,2639,1968
83,"Naiditsch, Arkadij",GER,2639,1985
84,"Areshchenko, Alexander",UKR,2638,1986
85,"Amonatov, Farrukh",TJK,2637,1978
86,"Timofeev, Artyom",RUS,2637,1985
87,"Smirnov, Pavel",RUS,2636,1982
88,"Wojtaszek, Radoslaw",POL,2635,1987
89,"Najer, Evgeniy",RUS,2635,1977
90,"Bauer, Christian",FRA,2634,1977
91,"Vachier-Lagrave, Maxime",FRA,2634,1990
92,"Sakaev, Konstantin",RUS,2634,1974
93,"Zhang, Zhong",SIN,2634,1978
94,"Lputian, Smbat G",ARM,2633,1958
95,"Ye, Jiangchuan",CHN,2632,1960
96,"Istratescu, Andrei",ROU,2631,1975
97,"Mchedlishvili, Mikheil",GEO,2631,1979
98,"Kobalia, Mikhail",RUS,2631,1978
99,"Miton, Kamil",POL,2628,1984
100,"Gurevich, Mikhail",TUR,2627,1959
101,"Vladimirov, Evgeny",KAZ,2627,1957
1,"Kramnik, Vladimir",RUS,2799,1975
2,"Anand, Viswanathan",IND,2799,1969
3,"Topalov, Veselin",BUL,2780,1975
4,"Morozevich, Alexander",RUS,2765,1977
5,"Svidler, Peter",RUS,2763,1976
6,"Mamedyarov, Shakhriyar",AZE,2760,1985
7,"Shirov, Alexei",ESP,2755,1972
8,"Leko, Peter",HUN,2753,1979
9,"Ivanchuk, Vassily",UKR,2751,1969
10,"Aronian, Levon",ARM,2739,1982
11,"Gelfand, Boris",ISR,2737,1968
12,"Radjabov, Teimour",AZE,2735,1987
13,"Carlsen, Magnus",NOR,2733,1990
14,"Karjakin, Sergey",UKR,2732,1990
15,"Kamsky, Gata",USA,2726,1974
16,"Adams, Michael",ENG,2726,1971
17,"Jakovenko, Dmitry",RUS,2720,1983
18,"Ponomariov, Ruslan",UKR,2719,1983
19,"Cheparinov, Ivan",BUL,2713,1986
20,"Alekseev, Evgeny",RUS,2711,1985
21,"Grischuk, Alexander",RUS,2711,1983
22,"Polgar, Judit",HUN,2707,1976
23,"Akopian, Vladimir",ARM,2700,1971
24,"Bacrot, Etienne",FRA,2700,1983
25,"Wang, Yue",CHN,2698,1987
26,"Rublevsky, Sergei",RUS,2695,1974
27,"Eljanov, Pavel",UKR,2692,1983
28,"Bu, Xiangzhi",CHN,2691,1985
29,"Dominguez Perez, Lenier",CUB,2691,1983
30,"Milov, Vadim",SUI,2690,1972
31,"Malakhov, Vladimir",RUS,2689,1980
32,"Sokolov, Ivan",NED,2686,1968
33,"Nisipeanu, Liviu-Dieter",ROU,2684,1976
34,"Kasimdzhanov, Rustam",UZB,2681,1979
35,"Van Wely, Loek",NED,2681,1972
36,"Inarkiev, Ernesto",RUS,2681,1985
37,"Ni, Hua",CHN,2680,1983
38,"Navara, David",CZE,2680,1985
39,"Sasikiran, Krishnan",IND,2677,1981
40,"Zvjaginsev, Vadim",RUS,2677,1976
41,"Bareev, Evgeny",RUS,2677,1966
42,"Movsesian, Sergei",SVK,2677,1978
43,"Sargissian, Gabriel",ARM,2676,1983
44,"Vallejo Pons, Francisco",ESP,2675,1982
45,"Volokitin, Andrei",UKR,2674,1986
46,"Nakamura, Hikaru",USA,2670,1987
47,"Almasi, Zoltan",HUN,2667,1976
48,"Wang, Hao",CHN,2665,1989
49,"Gashimov, Vugar",AZE,2665,1986
50,"Nikolic, Predrag",BIH,2665,1960
51,"Timofeev, Artyom",RUS,2664,1985
52,"Onischuk, Alexander",USA,2664,1975
53,"Harikrishna, P.",IND,2664,1986
54,"Bologan, Viktor",MDA,2663,1971
55,"Georgiev, Kiril",BUL,2662,1965
56,"Roiz, Michael",ISR,2659,1983
57,"Tkachiev, Vladislav",FRA,2657,1973
58,"Lautier, Joel",FRA,2657,1973
59,"Fressinet, Laurent",FRA,2656,1981
60,"Karpov, Anatoly",RUS,2655,1951
61,"Fedorchuk, Sergey A.",UKR,2652,1981
62,"Ivanisevic, Ivan",SRB,2649,1977
63,"Tiviakov, Sergei",NED,2649,1973
64,"Amonatov, Farrukh",TJK,2649,1978
65,"Baklan, Vladimir",UKR,2647,1978
66,"Miroshnichenko, Evgenij",UKR,2647,1978
67,"Sakaev, Konstantin",RUS,2646,1974
68,"Tomashevsky, Evgeny",RUS,2646,1987
69,"Afromeev, Vladimir",RUS,2646,1954
70,"Korneev, Oleg",RUS,2645,1969
71,"Areshchenko, Alexander",UKR,2645,1986
72,"Short, Nigel D",ENG,2645,1965
73,"Motylev, Alexander",RUS,2644,1979
74,"Jobava, Baadur",GEO,2643,1983
75,"Moiseenko, Alexander",UKR,2643,1980
76,"Sutovsky, Emil",ISR,2642,1977
77,"Predojevic, Borki",BIH,2641,1987
78,"Landa, Konstantin",RUS,2641,1972
79,"Zhang, Pengxiang",CHN,2640,1980
80,"Naiditsch, Arkadij",GER,2638,1985
81,"Beliavsky, Alexander G",SLO,2638,1953
82,"Efimenko, Zahar",UKR,2638,1985
83,"Khalifman, Alexander",RUS,2638,1966
84,"Izoria, Zviad",GEO,2637,1984
85,"Vachier-Lagrave, Maxime",FRA,2637,1990
86,"Krasenkow, Michal",POL,2636,1963
87,"Tregubov, Pavel V.",RUS,2636,1971
88,"Socko, Bartosz",POL,2635,1978
89,"Mchedlishvili, Mikheil",GEO,2635,1979
90,"Najer, Evgeniy",RUS,2634,1977
91,"Dreev, Alexey",RUS,2633,1969
92,"Mikhalevski, Victor",ISR,2632,1972
93,"Delchev, Aleksander",BUL,2630,1971
94,"Pantsulaia, Levan",GEO,2629,1986
95,"Kotronias, Vasilios",GRE,2628,1964
96,"Avrukh, Boris",ISR,2628,1978
97,"Riazantsev, Alexander",RUS,2628,1985
98,"Seirawan, Yasser",USA,2628,1960
99,"Postny, Evgeny",ISR,2627,1981
100,"Fridman, Daniel",GER,2627,1976
101,"Vladimirov, Evgeny",KAZ,2627,1957
1,"Anand, Viswanathan",IND,2803,1969
2,"Kramnik, Vladimir",RUS,2788,1975
3,"Morozevich, Alexander",RUS,2774,1977
4,"Topalov, Veselin",BUL,2767,1975
5,"Carlsen, Magnus",NOR,2765,1990
6,"Aronian, Levon",ARM,2763,1982
7,"Mamedyarov, Shakhriyar",AZE,2752,1985
8,"Radjabov, Teimour",AZE,2751,1987
9,"Svidler, Peter",RUS,2746,1976
10,"Leko, Peter",HUN,2741,1979
11,"Ivanchuk, Vassily",UKR,2740,1969
12,"Shirov, Alexei",ESP,2740,1972
13,"Karjakin, Sergey",UKR,2732,1990
14,"Adams, Michael",ENG,2729,1971
15,"Kamsky, Gata",USA,2726,1974
16,"Gelfand, Boris",ISR,2723,1968
17,"Ponomariov, Ruslan",UKR,2719,1983
18,"Grischuk, Alexander",RUS,2716,1983
19,"Jakovenko, Dmitry",RUS,2711,1983
20,"Alekseev, Evgeny",RUS,2711,1985
21,"Polgar, Judit",HUN,2709,1976
22,"Bu, Xiangzhi",CHN,2708,1985
23,"Bacrot, Etienne",FRA,2705,1983
24,"Ni, Hua",CHN,2703,1983
25,"Movsesian, Sergei",SVK,2695,1978
26,"Dominguez Perez, Lenier",CUB,2695,1983
27,"Cheparinov, Ivan",BUL,2695,1986
28,"Rublevsky, Sergei",RUS,2695,1974
29,"Sokolov, Ivan",NED,2690,1968
30,"Milov, Vadim",SUI,2690,1972
31,"Wang, Yue",CHN,2689,1987
32,"Malakhov, Vladimir",RUS,2689,1980
33,"Eljanov, Pavel",UKR,2687,1983
34,"Nakamura, Hikaru",USA,2686,1987
35,"Wang, Hao",CHN,2684,1989
36,"Inarkiev, Ernesto",RUS,2684,1985
37,"Volokitin, Andrei",UKR,2684,1986
38,"Vallejo Pons, Francisco",ESP,2684,1982
39,"Nisipeanu, Liviu-Dieter",ROU,2684,1976
40,"Kasimdzhanov, Rustam",UZB,2681,1979
41,"Harikrishna, P.",IND,2679,1986
42,"Gashimov, Vugar",AZE,2679,1986
43,"Sasikiran, Krishnan",IND,2679,1981
44,"Bareev, Evgeny",RUS,2677,1966
45,"Van Wely, Loek",NED,2676,1972
46,"Nikolic, Predrag",BIH,2674,1960
47,"Almasi, Zoltan",HUN,2674,1976
48,"Zvjaginsev, Vadim",RUS,2674,1976
49,"Akopian, Vladimir",ARM,2673,1971
50,"Navara, David",CZE,2672,1985
51,"Fedorchuk, Sergey A.",UKR,2671,1981
52,"Motylev, Alexander",RUS,2666,1979
53,"Bologan, Viktor",MDA,2665,1971
54,"Georgiev, Kiril",BUL,2665,1965
55,"Timofeev, Artyom",RUS,2664,1985
56,"Onischuk, Alexander",USA,2664,1975
57,"Efimenko, Zahar",UKR,2660,1985
58,"Short, Nigel D",ENG,2660,1965
59,"Roiz, Michael",ISR,2659,1983
60,"Jobava, Baadur",GEO,2658,1983
61,"Tomashevsky, Evgeny",RUS,2658,1987
62,"Dreev, Alexey",RUS,2657,1969
63,"Lautier, Joel",FRA,2657,1973
64,"Tkachiev, Vladislav",FRA,2657,1973
65,"Fressinet, Laurent",FRA,2656,1981
66,"Karpov, Anatoly",RUS,2655,1951
67,"Korneev, Oleg",RUS,2651,1969
68,"Predojevic, Borki",BIH,2651,1987
69,"Moiseenko, Alexander",UKR,2650,1980
70,"Areshchenko, Alexander",UKR,2650,1986
71,"Postny, Evgeny",ISR,2649,1981
72,"Sakaev, Konstantin",RUS,2649,1974
73,"Ivanisevic, Ivan",SRB,2649,1977
74,"Baklan, Vladimir",UKR,2647,1978
75,"Afromeev, Vladimir",RUS,2646,1954
76,"Socko, Bartosz",POL,2644,1978
77,"Sargissian, Gabriel",ARM,2643,1983
78,"Miroshnichenko, Evgenij",UKR,2642,1978
79,"Beliavsky, Alexander G",SLO,2641,1953
80,"Fridman, Daniel",GER,2640,1976
81,"Zhang, Pengxiang",CHN,2640,1980
82,"Delchev, Aleksander",BUL,2639,1971
83,"Riazantsev, Alexander",RUS,2638,1985
84,"Mchedlishvili, Mikheil",GEO,2635,1979
85,"Tiviakov, Sergei",NED,2634,1973
86,"Nepomniachtchi, Ian",RUS,2634,1990
87,"Shabalov, Alexander",USA,2633,1967
88,"Landa, Konstantin",RUS,2633,1972
89,"Volkov, Sergey",RUS,2633,1974
90,"Avrukh, Boris",ISR,2632,1978
91,"Vachier-Lagrave, Maxime",FRA,2632,1990
92,"Asrian, Karen",ARM,2630,1980
93,"Sutovsky, Emil",ISR,2630,1977
94,"Smirin, Ilia",ISR,2630,1968
95,"Solak, Dragan",SRB,2630,1980
96,"Seirawan, Yasser",USA,2630,1960
97,"Tregubov, Pavel V.",RUS,2629,1971
98,"Nielsen, Peter Heine",DEN,2629,1973
99,"Sadvakasov, Darmen",KAZ,2629,1979
100,"Khalifman, Alexander",RUS,2628,1966
101,"Istratescu, Andrei",ROU,2628,1975
1,"Anand, Viswanathan",IND,2798,1969
2,"Morozevich, Alexander",RUS,2788,1977
3,"Kramnik, Vladimir",RUS,2788,1975
4,"Ivanchuk, Vassily",UKR,2781,1969
5,"Topalov, Veselin",BUL,2777,1975
6,"Carlsen, Magnus",NOR,2775,1990
7,"Radjabov, Teimour",AZE,2744,1987
8,"Mamedyarov, Shakhriyar",AZE,2742,1985
9,"Shirov, Alexei",ESP,2741,1972
10,"Leko, Peter",HUN,2741,1979
11,"Svidler, Peter",RUS,2738,1976
12,"Aronian, Levon",ARM,2737,1982
13,"Adams, Michael",ENG,2735,1971
14,"Grischuk, Alexander",RUS,2728,1983
15,"Karjakin, Sergey",UKR,2727,1990
16,"Movsesian, Sergei",SVK,2723,1978
17,"Kamsky, Gata",USA,2723,1974
18,"Gelfand, Boris",ISR,2720,1968
19,"Ponomariov, Ruslan",UKR,2718,1983
20,"Gashimov, Vugar",AZE,2717,1986
21,"Eljanov, Pavel",UKR,2716,1983
22,"Polgar, Judit",HUN,2711,1976
23,"Bu, Xiangzhi",CHN,2710,1985
24,"Jakovenko, Dmitry",RUS,2709,1983
25,"Dominguez Perez, Leinier",CUB,2708,1983
26,"Alekseev, Evgeny",RUS,2708,1985
27,"Ni, Hua",CHN,2705,1983
28,"Milov, Vadim",SUI,2705,1972
29,"Wang, Yue",CHN,2704,1987
30,"Rublevsky, Sergei",RUS,2699,1974
31,"Nakamura, Hikaru",USA,2697,1987
32,"Nisipeanu, Liviu-Dieter",ROU,2692,1976
33,"Bacrot, Etienne",FRA,2691,1983
34,"Wang, Hao",CHN,2691,1989
35,"Malakhov, Vladimir",RUS,2689,1980
36,"Cheparinov, Ivan",BUL,2687,1986
37,"Bologan, Viktor",MDA,2686,1971
38,"Sasikiran, Krishnan",IND,2684,1981
39,"Vachier-Lagrave, Maxime",FRA,2681,1990
40,"Roiz, Michael",ISR,2680,1983
41,"Kasimdzhanov, Rustam",UZB,2679,1979
42,"Inarkiev, Ernesto",RUS,2675,1985
43,"Motylev, Alexander",RUS,2674,1979
44,"Fressinet, Laurent",FRA,2673,1981
45,"Akopian, Vladimir",ARM,2673,1971
46,"Georgiev, Kiril",BUL,2671,1965
47,"Volokitin, Andrei",UKR,2671,1986
48,"Efimenko, Zahar",UKR,2670,1985
49,"Najer, Evgeniy",RUS,2670,1977
50,"Onischuk, Alexander",USA,2670,1975
51,"Nikolic, Predrag",BIH,2669,1960
52,"Almasi, Zoltan",HUN,2668,1976
53,"Harikrishna, P.",IND,2668,1986
54,"Naiditsch, Arkadij",GER,2665,1985
55,"Jobava, Baadur",GEO,2665,1983
56,"Areshchenko, Alexander",UKR,2664,1986
57,"Ivanisevic, Ivan",SRB,2664,1977
58,"Tkachiev, Vladislav",FRA,2664,1973
59,"Zvjaginsev, Vadim",RUS,2663,1976
60,"Postny, Evgeny",ISR,2661,1981
61,"Sargissian, Gabriel",ARM,2660,1983
62,"Tregubov, Pavel V.",RUS,2658,1971
63,"Sokolov, Ivan",NED,2658,1968
64,"Dreev, Alexey",RUS,2657,1969
65,"Lautier, Joel",FRA,2657,1973
66,"Avrukh, Boris",ISR,2656,1978
67,"Khenkin, Igor",GER,2655,1968
68,"Short, Nigel D",ENG,2655,1965
69,"Bareev, Evgeny",RUS,2655,1966
70,"Sutovsky, Emil",ISR,2654,1977
71,"Nielsen, Peter Heine",DEN,2652,1973
72,"Karpov, Anatoly",RUS,2651,1951
73,"Timofeev, Artyom",RUS,2650,1985
74,"Amonatov, Farrukh",TJK,2650,1978
75,"Vallejo Pons, Francisco",ESP,2650,1982
76,"Navara, David",CZE,2646,1985
77,"Tomashevsky, Evgeny",RUS,2646,1987
78,"Afromeev, Vladimir",RUS,2646,1954
79,"Tiviakov, Sergei",NED,2645,1973
80,"Berkes, Ferenc",HUN,2645,1985
81,"Van Wely, Loek",NED,2644,1972
82,"Guseinov, Gadir",AZE,2643,1986
83,"Zhang, Pengxiang",CHN,2643,1980
84,"Kazhgaleyev, Murtas",KAZ,2641,1973
85,"Grachev, Boris",RUS,2640,1986
86,"Nyback, Tomi",FIN,2639,1985
87,"Lastin, Alexander",RUS,2639,1976
88,"Krasenkow, Michal",POL,2639,1963
89,"Fridman, Daniel",GER,2637,1976
90,"Smirin, Ilia",ISR,2637,1968
91,"Istratescu, Andrei",ROU,2636,1975
92,"Volkov, Sergey",RUS,2636,1974
93,"Predojevic, Borki",BIH,2634,1987
94,"Khalifman, Alexander",RUS,2634,1966
95,"Sakaev, Konstantin",RUS,2634,1974
96,"Seirawan, Yasser",USA,2634,1960
97,"Moiseenko, Alexander",UKR,2632,1980
98,"Zhang, Zhong",SIN,2632,1978
99,"Sadvakasov, Darmen",KAZ,2632,1979
100,"Korneev, Oleg",RUS,2631,1969
101,"Gurevich, Mikhail",TUR,2631,1959
102,"Vescovi, Giovanni",BRA,2631,1978
103,"Ganguly, Surya Shekhar",IND,2631,1983
1,"Topalov, Veselin",BUL,2791,1975
2,"Morozevich, Alexander",RUS,2787,1977
3,"Ivanchuk, Vassily",UKR,2786,1969
4,"Carlsen, Magnus",NOR,2786,1990
5,"Anand, Viswanathan",IND,2783,1969
6,"Kramnik, Vladimir",RUS,2772,1975
7,"Aronian, Levon",ARM,2757,1982
8,"Radjabov, Teimour",AZE,2752,1987
9,"Leko, Peter",HUN,2747,1979
10,"Jakovenko, Dmitry",RUS,2737,1983
11,"Wang, Yue",CHN,2736,1987
12,"Adams, Michael",ENG,2734,1971
13,"Movsesian, Sergei",SVK,2732,1978
14,"Mamedyarov, Shakhriyar",AZE,2731,1985
15,"Karjakin, Sergey",UKR,2730,1990
16,"Kamsky, Gata",USA,2729,1974
17,"Svidler, Peter",RUS,2727,1976
18,"Shirov, Alexei",ESP,2726,1972
19,"Eljanov, Pavel",UKR,2720,1983
20,"Gelfand, Boris",ISR,2719,1968
21,"Dominguez Perez, Leinier",CUB,2719,1983
22,"Ponomariov, Ruslan",UKR,2719,1983
23,"Grischuk, Alexander",RUS,2719,1983
24,"Vachier-Lagrave, Maxime",FRA,2716,1990
25,"Alekseev, Evgeny",RUS,2715,1985
26,"Bu, Xiangzhi",CHN,2714,1985
27,"Polgar, Judit",HUN,2711,1976
28,"Ni, Hua",CHN,2710,1983
29,"Bacrot, Etienne",FRA,2705,1983
30,"Nakamura, Hikaru",USA,2704,1987
31,"Gashimov, Vugar",AZE,2703,1986
32,"Rublevsky, Sergei",RUS,2702,1974
33,"Cheparinov, Ivan",BUL,2696,1986
34,"Wang, Hao",CHN,2696,1989
35,"Sasikiran, Krishnan",IND,2694,1981
36,"Tiviakov, Sergei",NED,2686,1973
37,"Nisipeanu, Liviu-Dieter",ROU,2684,1976
38,"Najer, Evgeniy",RUS,2682,1977
39,"Bologan, Viktor",MDA,2682,1971
40,"Milov, Vadim",SUI,2681,1972
41,"Efimenko, Zahar",UKR,2680,1985
42,"Akopian, Vladimir",ARM,2679,1971
43,"Moiseenko, Alexander",UKR,2678,1980
44,"Naiditsch, Arkadij",GER,2678,1985
45,"Roiz, Michael",ISR,2677,1983
46,"Fressinet, Laurent",FRA,2676,1981
47,"Malakhov, Vladimir",RUS,2675,1980
48,"Postny, Evgeny",ISR,2674,1981
49,"Motylev, Alexander",RUS,2672,1979
50,"Kasimdzhanov, Rustam",UZB,2672,1979
51,"Timofeev, Artyom",RUS,2670,1985
52,"Dreev, Alexey",RUS,2670,1969
53,"Inarkiev, Ernesto",RUS,2669,1985
54,"Nikolic, Predrag",BIH,2669,1960
55,"Vallejo Pons, Francisco",ESP,2664,1982
56,"Jobava, Baadur",GEO,2664,1983
57,"Areshchenko, Alexander",UKR,2664,1986
58,"Tkachiev, Vladislav",FRA,2664,1973
59,"Almasi, Zoltan",HUN,2663,1976
60,"Nielsen, Peter Heine",DEN,2662,1973
61,"Volokitin, Andrei",UKR,2659,1986
62,"Harikrishna, P.",IND,2659,1986
63,"Ivanisevic, Ivan",SRB,2658,1977
64,"Avrukh, Boris",ISR,2657,1978
65,"Riazantsev, Alexander",RUS,2656,1985
66,"Grachev, Boris",RUS,2653,1986
67,"Lastin, Alexander",RUS,2651,1976
68,"Sutovsky, Emil",ISR,2651,1977
69,"Karpov, Anatoly",RUS,2651,1951
70,"Guseinov, Gadir",AZE,2650,1986
71,"Sokolov, Ivan",NED,2650,1968
72,"Smirin, Ilia",ISR,2649,1968
73,"Zhang, Zhong",SIN,2649,1978
74,"Savchenko, Boris",RUS,2648,1986
75,"Khenkin, Igor",GER,2647,1968
76,"Bareev, Evgeny",RUS,2647,1966
77,"Tregubov, Pavel V.",RUS,2646,1971
78,"Zvjaginsev, Vadim",RUS,2646,1976
79,"Tomashevsky, Evgeny",RUS,2646,1987
80,"Berkes, Ferenc",HUN,2645,1985
81,"Georgiev, Kiril",BUL,2645,1965
82,"Onischuk, Alexander",USA,2644,1975
83,"Sadvakasov, Darmen",KAZ,2643,1979
84,"Sargissian, Gabriel",ARM,2642,1983
85,"Short, Nigel D",ENG,2642,1965
86,"Sakaev, Konstantin",RUS,2640,1974
87,"Caruana, Fabiano",ITA,2640,1992
88,"Kazhgaleyev, Murtas",KAZ,2640,1973
89,"Nyback, Tomi",FIN,2639,1985
90,"Vitiugov, Nikita",RUS,2638,1987
91,"Graf, Alexander",GER,2636,1962
