rank,ime,drzava,rating,letnik
36,"Seirawan, Yasser",USA,2647,1960
37,"Nenashev, Alexander",UZB,2645,1962
38,"Milos, Gilberto",BRA,2644,1963
39,"Van Wely, Loek",NED,2643,1972
40,"Gulko, Boris F",USA,2642,1947
41,"Andersson, Ulf",SWE,2641,1951
42,"Piket, Jeroen",NED,2640,1969
43,"Shipov, Sergei",RUS,2640,1966
44,"Fedorov, Alexei",BLR,2639,1972
45,"Timman, Jan H",NED,2639,1951
46,"Zvjaginsev, Vadim",RUS,2635,1976
47,"Lastin, Alexander",RUS,2633,1976
48,"Hodgson, Julian M.",ENG,2633,1963
49,"Khenkin, Igor",GER,2633,1968
50,"Korchnoi, Viktor",SUI,2632,1931
51,"Beliavsky, Alexander G",SLO,2629,1953
52,"Ehlvest, Jaan",EST,2628,1962
53,"Sadler, Matthew",ENG,2628,1974
54,"Kharlov, Andrei",RUS,2627,1968
55,"Vaganian, Rafael A",ARM,2627,1951
56,"Milov, Vadim",SUI,2626,1972
57,"Avrukh, Boris",ISR,2625,1978
58,"Psakhis, Lev",ISR,2624,1958
59,"Ponomariov, Ruslan",UKR,2624,1983
60,"Vladimirov, Evgeny",KAZ,2621,1957
61,"Sakaev, Konstantin",RUS,2620,1974
62,"Hansen, Curt",DEN,2620,1964
63,"Kaidanov, Gregory S",USA,2619,1959
64,"Korneev, Oleg",RUS,2619,1969
65,"Kozul, Zdenko",CRO,2616,1966
66,"Minasian, Artashes",ARM,2614,1967
67,"Smagin, Sergey",RUS,2613,1958
68,"Bacrot, Etienne",FRA,2613,1983
69,"Speelman, Jonathan S.",ENG,2612,1956
70,"Baklan, Vladimir",UKR,2611,1978
71,"Sokolov, Ivan",BIH,2611,1968
72,"Tregubov, Pavel V.",RUS,2610,1971
73,"Lputian, Smbat G",ARM,2610,1958
74,"Jussupow, Artur",GER,2610,1960
75,"Landa, Konstantin",RUS,2610,1972
76,"Sutovsky, Emil",ISR,2609,1977
77,"Ftacnik, Lubomir",SVK,2608,1957
78,"Magomedov, Magaram",RUS,2608,1966
79,"Morovic Fernandez, Ivan",CRO,2608,1963
80,"Zhang, Zhong",CHN,2607,1978
81,"Tiviakov, Sergei",NED,2606,1973
82,"Huebner, Robert Dr.",GER,2606,1948
83,"Malakhov, Vladimir",RUS,2605,1980
84,"Hracek, Zbynek",CZE,2604,1970
85,"Dautov, Rustem",GER,2603,1965
86,"Wu, Wenjin",CHN,2602,1976
87,"Romanishin, Oleg M",UKR,2602,1952
88,"Grischuk, Alexander",RUS,2601,1983
89,"Filippov, Valerij",RUS,2601,1975
90,"Novikov, Igor A",UKR,2600,1962
91,"Dolmatov, Sergey",RUS,2600,1959
92,"Dorfman, Josif D",FRA,2600,1952
93,"Shabalov, Alexander",USA,2599,1967
94,"Giorgadze, Giorgi",GEO,2599,1964
95,"Kuzmin, Alexey",RUS,2598,1963
96,"Aleksandrov, Aleksej",BLR,2597,1973
97,"Lutz, Christopher",GER,2595,1971
98,"Sasikiran, Krishnan",IND,2594,1981
99,"Iordachescu, Viorel",MDA,2594,1977
100,"Rozentalis, Eduardas",LTU,2593,1963
1,"Kasparov, Garry",RUS,2849,1963
2,"Anand, Viswanathan",IND,2790,1969
3,"Kramnik, Vladimir",RUS,2772,1975
4,"Adams, Michael",ENG,2746,1971
5,"Leko, Peter",HUN,2745,1979
6,"Morozevich, Alexander",RUS,2745,1977
7,"Shirov, Alexei",ESP,2718,1972
8,"Topalov, Veselin",BUL,2718,1975
9,"Ivanchuk, Vassily",UKR,2717,1969
10,"Gelfand, Boris",ISR,2712,1968
11,"Bareev, Evgeny",RUS,2709,1966
12,"Van Wely, Loek",NED,2700,1972
13,"Svidler, Peter",RUS,2695,1976
14,"Gurevich, Mikhail",BEL,2694,1959
15,"Kasimdzhanov, Rustam",UZB,2693,1979
16,"Khalifman, Alexander",RUS,2690,1966
17,"Smirin, Ilia",ISR,2686,1968
18,"Dreev, Alexey",RUS,2685,1969
19,"Bologan, Viktor",MDA,2684,1971
20,"Karpov, Anatoly",RUS,2679,1951
21,"Ponomariov, Ruslan",UKR,2677,1983
22,"Georgiev, Kiril",BUL,2676,1965
23,"Polgar, Judit (GM)</td><td>&nbsp;wg</td><td>&nbsp;HUN</td><td>&nbsp;2676</td><td>&nbsp;34</td><td>&nbsp;1976</td></tr><tr bgcolor=#f2f2f2><td width=10>&nbsp;24</a></td><td>&nbsp;Short, Nigel D.",ENG,2676,1965
25,"Tkachiev, Vladislav",FRA,2672,1973
26,"Ye, Jiangchuan",CHN,2671,1960
27,"Azmaiparashvili, Zurab",GEO,2670,1960
28,"Grischuk, Alexander",RUS,2663,1983
29,"Movsesian, Sergei",CZE,2661,1978
30,"Sokolov, Ivan",BIH,2659,1968
31,"Krasenkow, Michal",POL,2658,1963
32,"Lautier, Joel",FRA,2658,1973
33,"Onischuk, Alexander",UKR,2658,1975
34,"Rublevsky, Sergei",RUS,2657,1974
35,"Akopian, Vladimir",ARM,2656,1971
36,"Xu, Jun",CHN,2655,1962
37,"Nikolic, Predrag",BIH,2652,1960
38,"Nenashev, Alexander",UZB,2649,1962
39,"Peng, Xiaomin",CHN,2648,1973
40,"Jussupow, Artur",GER,2645,1960
41,"Vaganian, Rafael A",ARM,2641,1951
42,"Almasi, Zoltan",HUN,2640,1976
43,"Andersson, Ulf",SWE,2640,1951
44,"Seirawan, Yasser",USA,2640,1960
45,"Shipov, Sergei",RUS,2640,1966
46,"Korchnoi, Viktor",SUI,2639,1931
47,"Sakaev, Konstantin",RUS,2639,1974
48,"Kharlov, Andrei",RUS,2639,1968
49,"Beliavsky, Alexander G",SLO,2638,1953
50,"Ehlvest, Jaan",EST,2638,1962
51,"Crisan, Alexandru",ROM,2635,1962
52,"Sadler, Matthew",ENG,2633,1974
53,"Piket, Jeroen",NED,2632,1969
54,"Lastin, Alexander",RUS,2631,1976
55,"Dautov, Rustem",GER,2631,1965
56,"Zvjaginsev, Vadim",RUS,2631,1976
57,"Avrukh, Boris",ISR,2630,1978
58,"Rozentalis, Eduardas",LTU,2630,1963
59,"Timman, Jan H",NED,2629,1951
60,"Tregubov, Pavel V.",RUS,2628,1971
61,"Gulko, Boris F",USA,2622,1947
62,"Rustemov, Alexander",RUS,2620,1973
63,"Filippov, Valerij",RUS,2619,1975
64,"Hansen, Curt",DEN,2619,1964
65,"Bauer, Christian",FRA,2618,1977
66,"Ftacnik, Lubomir",SVK,2618,1957
67,"Bacrot, Etienne",FRA,2618,1983
68,"Najer, Evgeniy",RUS,2616,1977
69,"Huebner, Robert Dr.",GER,2616,1948
70,"Malakhov, Vladimir",RUS,2613,1980
71,"Baklan, Vladimir",UKR,2613,1978
72,"Smagin, Sergey",RUS,2613,1958
73,"Khenkin, Igor",GER,2612,1968
74,"Vladimirov, Evgeny",KAZ,2612,1957
75,"Aleksandrov, Aleksej",BLR,2610,1973
76,"Landa, Konstantin",RUS,2610,1972
77,"Lutz, Christopher",GER,2609,1971
78,"Shabalov, Alexander",USA,2609,1967
79,"Milos, Gilberto",BRA,2608,1963
80,"Magomedov, Magaram",RUS,2608,1966
81,"Lputian, Smbat G",ARM,2607,1958
82,"Kaidanov, Gregory S",USA,2607,1959
83,"Zhang, Zhong",CHN,2607,1978
84,"Sutovsky, Emil",ISR,2605,1977
85,"Milov, Vadim",SUI,2604,1972
86,"Marin, Mihail",ROM,2604,1965
87,"Speelman, Jonathan S.",ENG,2604,1956
88,"Dorfman, Josif D",FRA,2602,1952
89,"Hracek, Zbynek",CZE,2602,1970
90,"Sasikiran, Krishnan",IND,2601,1981
91,"Najdoski, Toni",MKD,2601,1970
92,"Korneev, Oleg",RUS,2600,1969
93,"Psakhis, Lev",ISR,2598,1958
94,"Baburin, Alexander",IRL,2598,1967
95,"Tiviakov, Sergei",NED,2597,1973
96,"Shariyazdanov, Andrey",RUS,2596,1976
97,"Hodgson, Julian M.",ENG,2596,1963
98,"Novikov, Igor A",UKR,2596,1962
99,"Nisipeanu, Liviu-Dieter",ROM,2596,1976
100,"Tukmakov, Vladimir B",UKR,2595,1946
1,"Kasparov, Garry",RUS,2827,1963
2,"Kramnik, Vladimir",RUS,2802,1975
3,"Anand, Viswanathan",IND,2794,1969
4,"Adams, Michael",ENG,2750,1971
5,"Morozevich, Alexander",RUS,2749,1977
6,"Leko, Peter",HUN,2731,1979
7,"Ivanchuk, Vassily",UKR,2731,1969
8,"Shirov, Alexei",ESP,2723,1972
9,"Gelfand, Boris",ISR,2712,1968
10,"Bareev, Evgeny",RUS,2709,1966
11,"Topalov, Veselin",BUL,2707,1975
12,"Svidler, Peter",RUS,2695,1976
13,"Karpov, Anatoly",RUS,2693,1951
14,"Kasimdzhanov, Rustam",UZB,2693,1979
15,"Smirin, Ilia",ISR,2691,1968
16,"Khalifman, Alexander",RUS,2690,1966
17,"Gurevich, Mikhail",BEL,2688,1959
18,"Dreev, Alexey",RUS,2685,1969
19,"Polgar, Judit (GM)</td><td>&nbsp;wg</td><td>&nbsp;HUN</td><td>&nbsp;2679</td><td>&nbsp;10</td><td>&nbsp;1976</td></tr><tr bgcolor=#f2f2f2><td width=10>&nbsp;20</a></td><td>&nbsp;Bologan, Viktor",MDA,2676,1971
21,"Georgiev, Kiril",BUL,2676,1965
22,"Short, Nigel D.",ENG,2676,1965
23,"Ponomariov, Ruslan",UKR,2673,1983
24,"Tkachiev, Vladislav",FRA,2672,1973
25,"Ye, Jiangchuan",CHN,2671,1960
26,"Van Wely, Loek",NED,2670,1972
27,"Azmaiparashvili, Zurab",GEO,2670,1960
28,"Grischuk, Alexander",RUS,2668,1983
29,"Movsesian, Sergei",CZE,2661,1978
30,"Sokolov, Ivan",BIH,2659,1968
31,"Lautier, Joel",FRA,2658,1973
32,"Onischuk, Alexander",UKR,2658,1975
33,"Rublevsky, Sergei",RUS,2657,1974
34,"Krasenkow, Michal",POL,2655,1963
35,"Xu, Jun",CHN,2655,1962
36,"Akopian, Vladimir",ARM,2654,1971
37,"Nikolic, Predrag",BIH,2652,1960
